"Date","Price","Open","High","Low","Vol.","Change %"
"30-10-2023","19,225.00","19,044.00","19,248.00","19,006.50","42.06K","0.52%"
"27-10-2023","19,125.00","18,952.00","19,150.00","18,933.00","48.06K","1.42%"
"26-10-2023","18,857.25","19,009.00","19,058.00","18,840.50","42.36K","-1.38%"
"25-10-2023","19,122.00","19,333.50","19,341.50","19,060.00","87.48K","-0.83%"
"24-10-2023","19,282.00","19,264.50","19,341.00","19,255.00","30.79K","0.15%"
"23-10-2023","19,253.50","19,455.00","19,534.50","19,234.50","102.94K","-1.37%"
"20-10-2023","19,521.50","19,573.00","19,573.00","19,426.00","44.01K","-0.46%"
"19-10-2023","19,611.00","19,559.00","19,666.00","19,524.00","45.73K","-0.27%"
"18-10-2023","19,664.00","19,828.50","19,846.00","19,555.00","36.23K","-0.72%"
"17-10-2023","19,806.00","19,821.00","19,849.00","19,760.00","24.72K","0.36%"
"16-10-2023","19,735.00","19,678.00","19,839.50","19,678.00","30.15K","0.02%"
"13-10-2023","19,730.50","19,689.50","19,809.00","19,674.50","36.92K","-0.52%"
"12-10-2023","19,834.50","19,863.00","19,884.00","19,671.00","34.98K","-0.10%"
"11-10-2023","19,854.00","19,800.00","19,875.00","19,777.00","33.15K","0.59%"
"10-10-2023","19,737.00","19,624.00","19,816.00","19,587.50","32.23K","1.16%"
"09-10-2023","19,510.00","19,687.50","19,698.50","19,481.50","32.14K","-0.81%"
"06-10-2023","19,668.50","19,608.00","19,788.00","19,500.00","31.34K","0.58%"
"05-10-2023","19,555.50","19,480.00","19,624.00","19,472.00","43.75K","0.37%"
"04-10-2023","19,483.50","19,436.00","19,490.50","19,354.50","49.63K","-0.35%"
"03-10-2023","19,552.00","19,577.00","19,625.00","19,450.00","52.73K","-0.80%"
"29-09-2023","19,710.50","19,645.00","19,799.00","19,590.50","41.63K","0.96%"
"28-09-2023","19,523.55","19,720.00","19,747.00","19,503.00","51.38K","-0.96%"
"27-09-2023","19,713.00","19,601.00","19,745.00","19,536.00","57.22K","0.22%"
"26-09-2023","19,670.50","19,654.00","19,714.00","19,596.00","87.98K","-0.13%"
"25-09-2023","19,696.50","19,679.00","19,754.00","19,621.00","91.24K","-0.03%"
"22-09-2023","19,702.00","19,650.50","19,820.00","19,630.00","46.97K","-0.36%"
"21-09-2023","19,772.50","19,866.50","19,885.50","19,662.00","52.86K","-0.89%"
"20-09-2023","19,950.50","20,110.50","20,110.50","19,890.00","48.98K","-0.93%"
"19-09-2023","20,137.50","20,158.00","20,198.00","20,085.00","8.90K","-0.35%"
"18-09-2023","20,209.00","20,149.00","20,242.00","20,129.50","37.05K","-0.23%"
"15-09-2023","20,255.50","20,206.50","20,280.50","20,162.50","43.25K","0.31%"
"14-09-2023","20,192.00","20,128.00","20,233.00","20,112.00","47.34K","0.27%"
"13-09-2023","20,138.00","20,083.50","20,174.00","20,012.50","41.36K","0.54%"
